objid,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,plate,mjd,fiberid,x_coord,y_coord,z_coord
1.23766e+18,16.48948,15.69902,15.4229,15.312220000000002,15.18255,4294,301,1,206,2.11332e+18,GALAXY,1877,54464,20,-19.386031644214807,14.890951062403031,53.05100086736167
1.23766e+18,19.368679999999998,17.53163,16.732020000000002,16.3645,16.08267,3971,301,5,185,1.93441e+18,GALAXY,1718,53850,400,-222.1916909646561,-234.74465212844007,67.50421266876492
1.23766e+18,17.46479,16.2487,15.999410000000001,15.917110000000001,15.90189,2328,301,4,156,1.10345e+18,STAR,980,52431,230,0.3790073667057729,2.0598540818921447,-1.0887456000053897
1.23767e+18,19.03783,18.64706,18.50684,18.314,18.350179999999998,4670,301,3,250,2.43995e+18,QSO,2167,53889,472,-2573.5174333500204,-3727.9187621174024,1493.81526591696
1.23765e+18,17.57337,15.9687,15.381829999999999,15.19041,15.1151,1334,301,2,11,3.26628e+18,STAR,2901,54652,159,-0.14941096632419212,-0.0495556328259076,-0.0012979278354957459
1.23766e+18,18.43755,17.66764,17.422,17.31519,17.147470000000002,4335,301,3,189,2.17976e+18,GALAXY,1936,53330,75,-76.00833830811493,67.18388790782328,57.661519023338876
1.23767e+18,19.03888,17.63503,16.9373,16.55291,16.344079999999998,4576,301,2,197,2.18426e+18,GALAXY,1940,53383,55,-263.27911758841077,204.685397953171,166.03261849582958
1.23768e+18,17.517310000000002,18.0221,16.59114,15.959060000000001,15.832270000000001,7770,301,5,65,4.59953e+18,STAR,4085,55452,849,0.008203425530264687,-0.006412028706723312,0.001425566108854525
1.23765e+18,19.5107,18.343239999999998,17.94804,17.800079999999998,17.752860000000002,1740,301,1,132,3.50045e+18,STAR,3109,54833,100,-0.5361927225133252,-0.1611698121060272,0.10639951028579414
1.23767e+18,18.5619,17.3793,16.877860000000002,16.65069,16.558120000000002,6573,301,6,198,3.02088e+18,STAR,2683,54153,326,0.008268652074222827,-0.02036202369145141,-0.01954156001531109
1.23767e+18,16.80196,15.47877,14.95755,14.75862,14.64381,6361,301,6,32,2.95454e+18,STAR,2624,54380,638,0.2704833845722878,0.009847461849766856,-0.022441616458098078
1.23766e+18,18.97028,17.766170000000002,17.356479999999998,17.22269,17.15392,3225,301,4,262,2.44781e+18,STAR,2174,53521,369,-0.11916285506942155,-0.3290644146308039,0.26079983585585526
